Key,Year,Source,Subtype ID
Wa08_4747,2009,Water,190
CCMA_1543,2016,Chicken,191
Wa11_1424,2011,Water,191
CCMA_1539,2016,Chicken,191
CCMA_1541,2016,Chicken,191
CCMA_1557,2016,Chicken,191
CCMA_1778,2017,Chicken,191
CCMA_1780,2017,Chicken,191
CCMA_1781,2017,Chicken,191
CCMA_1782,2017,Chicken,191
CCMA_1783,2017,Chicken,191
CCMA_1784,2017,Chicken,191
CCMA_1785,2017,Chicken,191
CCMA_1786,2017,Chicken,191
CCMA_1787,2017,Chicken,191
CCMB_1534,2016,Chicken,191
CCMB_1535,2016,Chicken,191
Wa10_1038,2010,Water,191
Wa10_1039,2010,Water,191
Wa11_1117,2011,Water,191
Wa11_1132,2011,Water,191
CCMA_1776,2017,Chicken,192
CCMA_1779,2017,Chicken,193
CCMA_1788,2017,Chicken,194
CCMA_1540,2016,Chicken,195
CCMA_1940,2017,Chicken,196
CCMA_1981,2017,Chicken,196
Wa08_4802,2009,Water,196
CCMC_2171,2016,Chicken,197
CCMC_2174,2016,Chicken,197
CCMC_2176,2016,Chicken,197
CCMA_1773,2017,Chicken,198
CCMC_2151,2016,Chicken,198
CCMC_2153,2016,Chicken,198
CCMC_2172,2016,Chicken,198
CCMC_2177,2016,Chicken,198
CCMC_2178,2016,Chicken,198
CCMC_2179,2016,Chicken,198
CCMC_2180,2016,Chicken,198
CCMC_2181,2016,Chicken,198
CCMC_2183,2016,Chicken,198
CCMC_2184,2016,Chicken,198
LH14_MS2126,2014,Human,198
LH16_MS1561,2016,Human,198
Wa08_4736,2009,Water,199
Wa08_4915,2009,Water,199
CHRA_270,2007,Human,200
Wa08_4205,2009,Water,200
Wa08_4206,2009,Water,200
Wa08_4666,2009,Water,200
Wa08_4755,2009,Water,200
Wa08_4756,2009,Water,200
Wa08_4819,2009,Water,200
Wa08_4909,2009,Water,200
LH05_S2451,2005,Human,201
Wa08_3916,2008,Water,202
Wa08_4076,2008,Water,202
Wa08_4456,2009,Water,202
Wa08_4457,2009,Water,202
CCMC_2049,2016,Chicken,203
Wa08_4069,2008,Water,203
Wa08_4097,2008,Water,203
Wa08_4155,2008,Water,203
Wa08_4966,2009,Water,203
Wa08_4534,2009,Water,204
Wa08_3757,2008,Water,205
Wa08_3767,2008,Water,205
Wa11_1559,2011,Water,205
Wa11_1572,2011,Water,205
Wa08_3747,2008,Water,206
Wa08_3770,2008,Water,207
Wa08_3771,2008,Water,207
Wa11_1428,2011,Water,208
Wa11_1429,2011,Water,208
Wa11_1508,2011,Water,208
Wa11_1505,2011,Water,209
AMR_1205,2008,Cattle,210
CCMB_1562,2016,Chicken,211
Wa10_282,2010,Water,212
LH07_MS2590,2007,Human,213
Wa08_3910,2008,Water,214
Wa08_4178,2008,Water,215
Wa08_4240,2009,Water,216
CCMC_1174,2016,Chicken,217
CCMC_2048,2016,Chicken,218
CCMC_2050,2016,Chicken,219
LH11_MS2362,2011,Human,220
LH11_MS2931,2011,Human,220
AMR_5497,2009,Cattle,221
CCMC_4606,2017,Chicken,222
AMR_5976,2009,Cattle,223
AMR_6189,2009,Cattle,223
CHRB_1306,2008,Human,224
CHRB_1309,2008,Human,224
CHRB_1326,2008,Human,224
CHRB_1353,2008,Human,224
CHRB_1358,2008,Human,224
CHRB_1363,2008,Human,224
CHRB_1364,2008,Human,224
CHRB_1365,2008,Human,224
CHRB_1294,2008,Human,225
CHRB_1296,2008,Human,225
CHRB_1301,2008,Human,225
CHRB_1303,2008,Human,225
CHRB_1328,2008,Human,226
CHRB_1329,2008,Human,226
CHRB_1356,2008,Human,227
CHRB_1359,2008,Human,227
CHRB_1360,2008,Human,227
CHRB_1362,2008,Human,227
CHRB_1330,2008,Human,228
CHRB_1357,2008,Human,228
CHRB_1292,2008,Human,229
CHRB_1320,2008,Human,229
CHRB_1337,2008,Human,229
CHRB_1699,2008,Human,230
CHRB_1305,2008,Human,231
AMR_8265,2009,Cattle,232
AMR_8569,2009,Cattle,232
AMR_9319,2010,Cattle,232
LH07_MS2969,2007,Human,232
LH12_MS3131,2012,Human,232
LH07_MS1543,2007,Human,233
CCMC_518,2016,Cattle,234
CCMC_519,2016,Cattle,234
CCMC_6019,2017,Cattle,234
CCMC_6086,2017,Cattle,234
CCMC_6093,2017,Cattle,234
CCMC_6098,2017,Cattle,234
CCMC_6179,2017,Cattle,234
CCMC_6298,2017,Cattle,234
CCMC_6300,2017,Cattle,234
CCMC_6567,2017,Cattle,234
CCMC_7462,2017,Cattle,234
CCMC_4505,2017,Chicken,234
CCMC_4600,2017,Chicken,234
CCMC_4601,2017,Chicken,234
CCMC_4602,2017,Chicken,234
